"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YBR224W",3.92113639224676,-0.116408982127817,1.10499462999629,-0.105348007101363,0.916099670720073,NA
"YBR232C",6.29455724002883,-0.290851988144617,0.778315752546833,-0.373694078775717,0.708631931150948,NA
"YBR277C",0.454767985781022,0.586796112931203,2.87520882493232,0.204088171906962,0.838284597265434,NA
"YBR298C-A",1.66829649751007,0.895536417308137,1.5837612887753,0.56544911386276,0.571768326522897,NA
"YCL023C",2.79268438971238,-1.46304409626206,1.16069610470919,-1.26048850368859,0.207493192515591,NA
"YCL046W",1.32586765690901,-0.345820454443818,1.7895855947719,-0.193240521970058,0.846770604822982,NA
"YCR049C",2.0300983613415,-1.27458669109406,1.32437138340479,-0.96240881301532,0.335844288426729,NA
"YCR050C",5.18349226826929,1.01787178916913,0.862954564420628,1.17951956120948,0.238191352190607,NA
"YCR064C",2.01932947917683,-0.31375584487772,1.39057145982631,-0.225630867554918,0.821488531025275,NA
"YCR087W",0.46015242686336,-1.0137552393314,3.29855830069868,-0.307332824499927,0.758590053524366,NA
"YCR102W-A",5.22617285793713,0.147933560756897,0.939045810356776,0.157536042571439,0.87482240464702,NA
"YCR108C",0.139624852585008,0.650878948301193,4.0804728567969,0.159510667303427,0.87326655462673,NA
"YDL011C",0.299258646479354,1.54938223728125,3.76414252708259,0.411616251545635,0.680620717950455,NA
"YDL022C-A",0.748911027708393,0.415045351970979,2.46173207996827,0.16859891267141,0.866112135881466,NA
"YDL023C",3.35128099116838,-2.23336653708221,1.22724431107715,-1.81982227737686,0.0687860740338995,NA
"YDL026W",0.645493982633612,1.19658799151224,2.58112148579152,0.463592278821118,0.642939887275766,NA
"YDL034W",4.54574642449713,-0.0330561746606494,0.923913289700215,-0.0357784383330769,0.971459025775183,NA
"YDL041W",0.308767542154371,1.58825981917347,3.72684940084032,0.426166890139256,0.66998624189053,NA
"YDL062W",1.31793670676313,0.438539905415668,1.5746679858707,0.278496743028139,0.780631064876807,NA
"YDL068W",3.04626008530144,-0.565919611107714,1.17476401753852,-0.481730460465994,0.629997434561912,NA
"YDL096C",2.73081794283538,-0.284629401242217,1.19117411229755,-0.238948612384819,0.811145429914645,NA
"YDL114W",4.93399579732287,1.08111019379275,0.904580609598536,1.19515074977404,0.232028136811497,NA
"YDL114W-A",4.85827213769425,-0.214157599832775,0.842889925568254,-0.254075405739837,0.799437303417469,NA
"YDL151C",3.79259838086591,0.0577582819728974,0.959936185152784,0.0601688767089289,0.952021133576376,NA
